"word";"order_id";"qtd_meanings";"qtd_images";"new_words_to_search"
"accent";"1";"5";"5";"-2"
"accuracy";"2";"2";"5";"0"
"accurate";"3";"4";"0";"0"
"airborne";"4";"3";"0";"0"
"missile";"5";"2";"5";"0"
"anaconda";"6";"1";"5";"0"
"ankle";"7";"1";"5";"0"
"appetizer";"8";"1";"5";"0"
"appointment";"9";"3";"5";"0"
"assignment";"10";"4";"5";"0"
"baguette";"11";"1";"5";"0"
"bakery";"12";"1";"5";"0"
"bandage";"13";"2";"5";"0"
"bar";"14";"18";"5";"0"
"barefoot";"15";"1";"0";"0"
"basalt";"16";"1";"5";"0"
"behind closed doors";"17";"1";"0";"0"
"bind";"18";"7";"5";"0"
"blow";"19";"14";"5";"0"
"bollywood";"20";"1";"0";"0"
"bracelet";"21";"1";"5";"0"
"branch";"22";"7";"5";"0"
"bricks and mortar";"23";"1";"0";"0"
"bus lane";"24";"1";"5";"0"
"cardio";"25";"2";"5";"0"
"cattle";"26";"1";"5";"0"
"childish";"27";"2";"0";"0"
"chimney";"28";"3";"5";"0"
"chop";"29";"5";"5";"0"
"chopsticks";"30";"1";"0";"0"
"chore";"31";"2";"5";"0"
"chorus";"32";"5";"5";"0"
"circuit training";"33";"1";"5";"0"
"clock";"34";"5";"5";"0"
"watch";"35";"9";"5";"0"
"close down";"36";"2";"0";"0"
"clot";"37";"3";"5";"0"
"coal";"38";"3";"5";"0"
"coarse";"39";"3";"0";"0"
"cockroach";"40";"1";"5";"0"
"coffin";"41";"1";"5";"1"
"commoner";"42";"1";"5";"0"
"commonly";"43";"2";"0";"0"
"concrete";"44";"4";"5";"0"
"conscientious";"45";"1";"0";"0"
"cool down";"46";"2";"0";"0"
"country house";"47";"1";"5";"0"
"croissant";"48";"1";"5";"0"
"cryptocurrency";"49";"0";"0";"0"
"curfew";"50";"2";"5";"0"
"curl";"51";"7";"5";"1"
"cycle lane";"52";"1";"5";"0"
"cylinder";"53";"2";"5";"0"
"dance hall";"54";"1";"5";"0"
"deaf";"55";"1";"0";"0"
"hearing impaired";"56";"1";"0";"0"
"debris";"57";"2";"5";"0"
"decking";"58";"1";"5";"0"
"come-up-with-the-goods-deliver-the-goods";"59";"1";"0";"0"
"diaper";"60";"1";"5";"0"
"din";"61";"1";"5";"0"
"do up";"62";"5";"0";"0"
"dredger";"63";"1";"5";"0"
"dub";"64";"6";"5";"0"
"edge";"65";"10";"5";"0"
"encourage";"66";"3";"0";"0"
"encrypt";"67";"1";"0";"0"
"endeavour";"68";"2";"5";"0"
"envision";"69";"1";"0";"0"
"evolve";"70";"2";"0";"0"
"exploit";"71";"5";"5";"0"
"child labour";"72";"1";"0";"0"
"fancy";"73";"11";"5";"1"
"far sighted";"74";"2";"0";"0"
"fashion";"75";"6";"5";"0"
"fashionable";"76";"2";"0";"0"
"flabby";"77";"2";"0";"0"
"flap";"78";"6";"5";"0"
"fleet";"79";"3";"5";"0"
"flip flops";"80";"1";"5";"0"
"flotilla";"81";"1";"5";"0"
"frame";"82";"13";"5";"0"
"fresh";"83";"8";"0";"0"
"funnel";"84";"4";"5";"0"
"gentle";"85";"4";"0";"0"
"knock-lick-get-somebody-something-into-shape";"86";"1";"0";"0"
"ghetto";"87";"2";"5";"0"
"giraffe";"88";"1";"5";"0"
"go the extra mile";"89";"1";"0";"0"
"governor";"90";"4";"5";"0"
"harvest";"91";"4";"5";"0"
"have ants in your pants";"92";"1";"0";"0"
"have seen better days";"93";"1";"0";"0"
"healthy";"94";"6";"0";"0"
"heater";"95";"1";"5";"0"
"house arrest";"96";"0";"0";"0"
"home office";"97";"2";"5";"0"
"honey";"98";"3";"5";"0"
"hunger";"99";"3";"5";"0"
"hyperopia";"100";"0";"0";"0"
"impregnate";"101";"2";"0";"0"
"be in two minds (about something)";"102";"1";"0";"0"
"inoculate";"103";"1";"0";"0"
"jargon";"104";"1";"5";"0"
"jeopardy";"105";"0";"0";"0"
"keep fit";"106";"1";"5";"0"
"knowledgeable";"107";"1";"0";"0"
"lace up";"108";"1";"5";"0"
"lagoon";"109";"2";"5";"0"
"landlord";"110";"2";"5";"0"
"lawn";"111";"2";"5";"0"
"loaf bread";"112";"0";"0";"0"
"loose";"113";"16";"0";"1"
"medallion";"114";"1";"5";"0"
"melancholy";"115";"2";"5";"0"
"mince";"116";"3";"5";"0"
"mob";"117";"4";"5";"0"
"monumental";"118";"3";"0";"0"
"moor";"119";"3";"5";"0"
"mutate";"120";"2";"0";"0"
"myopia";"121";"2";"5";"0"
"nearsighted";"122";"1";"0";"0"
"niche";"123";"4";"5";"0"
"noble";"124";"4";"5";"0"
"nod";"125";"3";"5";"0"
"overturn";"126";"2";"0";"0"
"peasant";"127";"2";"5";"0"
"pesticide";"128";"1";"5";"0"
"picture";"129";"10";"5";"0"
"pin";"130";"9";"5";"0"
"poisonous";"131";"3";"0";"0"
"politician";"132";"2";"5";"0"
"politics";"133";"5";"5";"0"
"pool";"134";"7";"5";"0"
"pork";"135";"2";"5";"0"
"porous";"136";"2";"0";"0"
"permeable";"137";"1";"0";"0"
"pot";"138";"11";"5";"0"
"prejudice";"139";"4";"5";"0"
"probe";"140";"5";"5";"0"
"prophets";"141";"2";"0";"0"
"puppy";"142";"1";"5";"0"
"pushchair";"143";"1";"5";"0"
"push-up";"144";"1";"5";"0"
"python";"145";"1";"5";"0"
"railing";"146";"2";"5";"0"
"re-elect";"147";"1";"0";"0"
"reflexology";"148";"1";"5";"0"
"rely";"149";"0";"0";"0"
"rely on/upon";"150";"2";"0";"0"
"remember";"151";"6";"0";"0"
"remind";"152";"2";"0";"0"
"rip off";"153";"5";"5";"0"
"robe";"154";"2";"5";"0"
"roof";"155";"3";"5";"0"
"run over";"156";"5";"0";"0"
"salvage";"157";"4";"5";"0"
"sandbag";"158";"3";"5";"0"
"sausage";"159";"1";"5";"0"
"scarf";"160";"2";"5";"0"
"scholarship";"161";"2";"5";"0"
"seed";"162";"8";"5";"0"
"sensuous";"163";"2";"0";"0"
"shake";"164";"5";"5";"0"
"shanty";"165";"2";"5";"0"
"shrink";"166";"4";"5";"0"
"shutter";"167";"3";"5";"0"
"sight";"168";"5";"5";"1"
"sit up";"169";"6";"5";"0"
"skewness";"170";"0";"0";"0"
"slang";"171";"1";"5";"0"
"slipper";"172";"1";"5";"0"
"slum";"173";"2";"5";"0"
"snooker";"174";"2";"5";"0"
"sort out";"175";"7";"5";"0"
"sought after";"176";"1";"0";"0"
"sow";"177";"3";"5";"0"
"sponsor";"178";"9";"5";"0"
"spoon";"179";"3";"5";"0"
"stack";"180";"4";"5";"1"
"stimulate";"181";"3";"0";"0"
"stream";"182";"11";"5";"0"
"strike";"183";"15";"5";"0"
"stubborn";"184";"2";"0";"0"
"syringe";"185";"2";"5";"0"
"table tennis";"186";"1";"5";"0"
"take your time";"187";"1";"0";"0"
"lane";"188";"5";"5";"2"
"tenant";"189";"1";"5";"0"
"terrace";"190";"3";"5";"0"
