"ID";"word";"word_url";"Translation";"POS";"Phonetic_Transcription";"Meaning";"Phrase";"Translation_Phrase";"Example";"Example_Phrase";"sPhrase";"sExample";"Image";"Credits";"Tags"
"accent__01__noun";"accent";"accent";"sotaque";"noun";" /ˈæksənt $ ˈæksent/";"noun  [countable]
The way someone pronounces the words of a language, showing which country or which part of a country they come from.";"He had a strong irish accent.";"Ele tinha um forte sotaque irlandês.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable"
"accent__02__noun";"accent";"accent";"sotaque";"noun";" /ˈæksənt $ ˈæksent/";"noun  [countable]
The part of a word that you should emphasize when you say it. (SYN stress)";"In the word ‘dinner’ the accent is on the first syllable.";"Na palavra “jantar” o acento está na primeira sílaba.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable"
"accent__03__noun";"accent";"accent";"acento";"noun";" /ˈæksənt $ ˈæksent/";"noun  [countable]
A written mark used above or below particular letters in some languages to show how to pronounce that letter.";"She had never learned French before, so she relied heavily on the accent marks to help her pronounce the words correctly.";"Ela nunca havia aprendido francês antes, então dependia muito dos acentos para ajudá-la a pronunciar as palavras corretamente.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun countable"
"accent__04__verb";"to accent";"accent";"acentuar";"verb";" /əkˈsent $ ˈæksent/";"verb  [transitive]
To make something more noticeable so that people will pay attention to it. (SYN highlight)";"Use make-up to accent your cheekbones and eyes.";"Use maquiagem para acentuar as maçãs do rosto e os olhos.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English verb transitive"
"accent__05__verb";"to accent";"accent";"acentuar";"verb";" /əkˈsent $ ˈæksent/";"verb  [transitive]
To emphasize a part of a word in speech.";"She carefully accented each syllable of her favorite quote to make sure the meaning was clear and impactful.";"Ela acentuou cuidadosamente cada sílaba de sua citação favorita para garantir que o significado fosse claro e impactante.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English verb transitive"
"accuracy__01__noun";"accuracy";"accuracy";"precisão";"noun";" /ˈækjərəsi/";"noun  [uncountable]
The ability to do something in an exact way without making a mistake.";"He passes the ball with unerring accuracy.";"Ele passa a bola com precisão infalível.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun uncountable"
"accuracy__02__noun";"accuracy";"accuracy";"precisão";"noun";" /ˈækjərəsi/";"noun  [uncountable]
The quality of being correct or true.";"Worries about the accuracy of government statistics";"Preocupa-se com a precisão das estatísticas do governo";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English noun uncountable"
"accurate__01__adjective";"accurate";"accurate";"preciso";"adjective";" /ˈækjərət/";"adjective
[INFORMATION]
Correct and true in every detail.
— [adverb] accurately";"The brochure tries to give a fair and accurate description of each hotel.";"A brochura tenta dar uma descrição justa e precisa de cada hotel.";"The evidence she gave to the court was not strictly accurate  (=not exactly accurate).";"A evidência que ela deu ao tribunal não era estritamente precisa (= não exatamente precisa).";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English adjective INFORMATION"
"accurate__02__adjective";"accurate";"accurate";"preciso";"adjective";" /ˈækjərət/";"adjective
[MEASUREMENT]
Measured or calculated correctly.
— [adverb] accurately";"It is difficult to get accurate figures on population numbers.";"É difícil obter números precisos sobre os números da população.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English adjective MEASUREMENT"
"accurate__03__adjective";"accurate";"accurate";"preciso";"adjective";" /ˈækjərət/";"adjective
[MACHINE]
A machine that is accurate is able to do something in an exact way without making a mistake.
— [adverb] accurately";"The cutter is accurate to within ½ a millimetre.";"O cortador tem precisão de ½ milímetro.";"";"";"";"";"";"Word definitions, meanings, and example sentences sourced from ldoceonline.com, by Pearson;
additional information and translation provided by ChatGPT, by OpenAI;
other translations was executed by Google Translator, by deep_translator (Nidhal Baccouri) (https://pypi.org/project/deep-translator/);
and some phonetic transcriptions were made by eng_to_ipa (https://pypi.org/project/eng-to-ipa/)
Word were taken at July 01st, 2023, 22:43.";"English adjective MACHINE"
